"ID","NAME","BILLINGSTREET","BILLINGCITY","BILLINGSTATE","BILLINGPOSTALCODE","SHIPPINGCITY"
"0018E00000OwWiiQAF","Agency for Medicinal Products and Medical Devices of the Republic of Slovenia","Ptujska ulica 21","Ljubljana","","1000",""
"0018E00000OwWijQAF","Agency for medicinal products and medical devices of Croatia","Ksaverska cesta 4","Zagreb","","10000",""
"0018E00000OwWikQAF","Finnish Medicines Agency","P.O. Box 55","FIMEA","","FI-00034",""
"0018E00000OwWilQAF","Main Pharmaceutical Inspectorate","38/40 D_uga Str.","Warsaw","","00-238",""
"0018E00000OwWimQAF","Austrian Agency for Health and Food Safety","Spargelfeldstra&szlig;e 191","Wien","","1220",""
"0018E00000OwWinQAF","Bulgarian Drug Agency","8 Damyan Gruev Str.","Sofia","","1303",""
"0018E00000OwWioQAF","Danish Health and Medicines Authority","Axel Heides Gade 1","K&oslash;benhavn S","","2300",""
"0018E00000OwWipQAF","Federal Agency for Medicines and Health Products","Eurostation building, block 2 place Victor Horta, 40/ 40","Brussels","","1060",""
"0018E00000OwWiqQAF","Federal Institute for Drugs and Medical Devices","Kurt-Georg-Kiesinger-Allee 3","Bonn","","53175",""
"0018E00000OwWirQAF","Health Products Regulatory Authority (HPRA)","Kevin O'Malley House,Earlsfort Centre, Earlsfort Terrace,","","","Dublin 2",""
"0018E00000OwWisQAF","Healthcare Inspectorate","Wilhelmina van Pruisenweg 52","The Hague","","2595 AN",""
"0018E00000OwWitQAF","Icelandic Medicines Agency","V&iacute;nlandslei&eth; 14","Reykjav&iacute;k","","113",""
"0018E00000OwWiuQAF","Italian Medicines Agency","Via del Tritone, 181","Roma","","187",""
"0018E00000OwWivQAF","Medical Products Agency","Dag Hammarskj&ouml;lds v&auml;g 42 / Box 26","Uppsala","","751 03",""
"0018E00000OwWiwQAF","Medicines and Healthcare Products Regulatory Agency","151 Buckingham Palace Road Victoria","London","","SW1W 9SZ",""
"0018E00000OwWixQAF","Medicines Authority","203 Rue D&acute;Argens","Gzira","","GZR 03",""
"0018E00000OwWiyQAF","Medicines Evaluation Board","Graadt van Roggenweg 500","Utrecht","","3531 AH",""
"0018E00000OwWizQAF","Ministry of Health","All&eacute;e Marconi","Luxembourg","","2120",""
"0018E00000OwWj0QAF","Ministry of Health - Pharmaceutical Services","7 Larnacos Avenue","osia","","1475",""
"0018E00000OwWj1QAF","National Agency for the Safety of Medicine and Health Products","143-147 bd Anatole France","Saint Denis CEDEX","","93285",""
"0018E00000Owxz2QAB","account grouping node","","","","",""
"0018E00000SuonaQAB","HariCanda to REXIS","","","","",""
"0018E00000Ox1JbQAJ","taxnumber buying account layout for service","","","","",""
"0018E00000OwWpvQAF","Hitachi High-Technologies Corporation (HHT)","1-24-14 Nishi-Shinbashi","Minato-ku Tokyo","","105-8717",""
"0018E00000OwWpwQAF","Roche Diagnostics GmbH","Sandhofer Strasse 116","Mannheim","","68305",""
"0018E00000OwWpxQAF","Roche Molecular Systems Inc.","1080 US HW 202s","Branchburg","New Jersey","8876",""
"0018E00000OwWpyQAF","Ventana Medical Systems Inc","1910 East Innovation Park Drive","Tucson","Arizona","85755-1962",""
"0018E00000OwtQEQAZ","test non buying account test1","","","","",""
"0018E00000OwxYkQAJ","test buying account layout rebas layout test","","","","",""
"0018E00000Ox3DMQAZ","non buying account layout testing for taxnumber1","","","","",""
"0018E00000PBrmdQAD","testrecord1","","","","",""
"0018E00000PCQ9bQAH","Third Part Account 1","Spain street","Spain City","","",""
"0018E00000PCQvnQAH","SEBO 1 Third Party","","","","",""
"0018E00000PC6m3QAD","roche","","","","",""
"0018E00000PCtlOQAT","Third Party Distributor","Test Spain Street","Test Spain City","Barcelona","66763",""
"0018E00000PCMqQQAX","Spain Archive Account","Test Spain street","Spain City","Barcelona","","Spain City"
"0018E00000PCQJWQA5","Third Party Distributor Account - 2","Spain Street","Spain City","","90987",""
"0018E00000Suie9QAB","Haridinesh Canada Two","asdf","Cal","Alabama","543433",""
